PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10a_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10a_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10a_sorted_fstrand_peak_1603	chr16	2808993	2809042	+	77	NA	exon (NM_016333, exon 6 of 15)	exon (NM_016333, exon 6 of 15)	-6416	NR_027275	100128788	Hs.311208	NR_027274	ENSG00000205913	SRRM2-AS1	-	SRRM2 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_1618	chr16	28856298	28856368	+	77	NA	exon (NM_003321, exon 4 of 10)	exon (NM_003321, exon 4 of 10)	-1005	NR_039872	100616256		NR_039872	ENSG00000264455	MIR4721	-	microRNA 4721	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_17	chr1	10471495	10471627	+	77	NA	exon (NM_001304451, exon 6 of 12)	exon (NM_001304451, exon 6 of 12)	12386	NM_001304452	5226	Hs.464071	NM_002631	ENSG00000142657	PGD	6PGD	phosphogluconate dehydrogenase	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4500	chr9	131902385	131902446	+	77	NA	intron (NM_021131, intron 9 of 10)	intron (NM_021131, intron 9 of 10)	28448	NM_001193397	5524	Hs.400740	NM_021131	ENSG00000119383	PPP2R4	PP2A|PR53|PTPA	protein phosphatase 2A activator, regulatory subunit 4	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3647	chr5	154183263	154183328	+	77	NA	exon (NM_015315, exon 13 of 19)	exon (NM_015315, exon 13 of 19)	-25723	NR_039667	100616306		NR_039667	ENSG00000263361	MIR378H	-	microRNA 378h	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_339	chr1	157094982	157095033	+	77	NA	exon (NM_001145312, exon 5 of 5)	exon (NM_001145312, exon 5 of 5)	-3147	NR_001560	360155	Hs.491808	NR_001560	ENSG00000235700	CYCSP52	HC6|HCP2	cytochrome c, somatic pseudogene 52	pseudo
4E1-PMA-01_S10a_sorted_rstrand_peak_1748	chr17	7297793	7297857	+	76	NA	5' UTR (NM_020360, exon 1 of 8)	5' UTR (NM_020360, exon 1 of 8)	337	NM_001201576	57048	Hs.534591	NM_020360	ENSG00000187838	PLSCR3	-	phospholipid scramblase 3	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3444	chr6	26235165	26235216	+	76	NA	5' UTR (NM_005320, exon 1 of 1)	promoter-TSS (NM_005320)	26	NM_005320	3007	Hs.136857	NM_005320	ENSG00000124575	HIST1H1D	H1.3|H1D|H1F3|H1s-2	histone cluster 1, H1d	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2812	chr20	35856982	35857042	+	76	NA	exon (NM_002951, exon 12 of 17)	exon (NM_002951, exon 12 of 17)	28287	NM_021081	2691	Hs.37023	NM_021081	ENSG00000118702	GHRH	GHRF|GRF|INN	growth hormone releasing hormone	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_728	chr11	30607853	30607930	+	76	NA	5' UTR (NM_001145399, exon 1 of 7)	promoter-TSS (NM_001145399)	39	NM_001145399	744	Hs.289795	NM_001584	ENSG00000066382	MPPED2	239FB|C11orf8	metallophosphoesterase domain containing 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_618	chr10	111767989	111768038	+	76	NA	5' UTR (NM_001121, exon 1 of 14)	non-coding (NR_038943, exon 1 of 5)	126	NR_038943	100505933	Hs.604103	NR_038943		ADD3-AS1	-	ADD3 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3	chr1	1167250	1167354	+	76	NA	5' UTR (NM_016547, exon 1 of 7)	promoter-TSS (NM_080605)	145	NM_016547	51150	Hs.42806	NM_016176	ENSG00000078808	SDF4	Cab45|SDF-4	stromal cell derived factor 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2214	chr19	49955010	49955069	+	76	NA	5' UTR (NM_017916, exon 1 of 9)	promoter-TSS (NM_017916)	76	NM_017916	55011	Hs.5245	NM_017916	ENSG00000104872	PIH1D1	NOP17	PIH1 domain containing 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_854	chr11	67195965	67196023	+	76	NA	5' UTR (NM_003952, exon 1 of 15)	promoter-TSS (NM_003952)	59	NM_003952	6199	Hs.534345	NM_003952	ENSG00000175634	RPS6KB2	KLS|P70-beta|P70-beta-1|P70-beta-2|S6K-beta2|S6K2|SRK|STK14B|p70(S6K)-beta|p70S6Kb	ribosomal protein S6 kinase, 70kDa, polypeptide 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4383	chr9	33290544	33290602	+	76	NA	exon (NM_147134, exon 1 of 16)	exon (NM_147134, exon 1 of 16)	155	NM_147134	4799	Hs.413074	NM_002504	ENSG00000086102	NFX1	NFX2|TEG-42|Tex42	nuclear transcription factor, X-box binding 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2751	chr3	9439076	9439146	+	76	NA	non-coding (NR_027007, exon 1 of 3)	promoter-TSS (NM_001080517)	67	NR_132780	440944	Hs.598958	NM_001013713	ENSG00000206573	THUMPD3-AS1	SETD5-AS1	THUMPD3 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2343	chr2	74405946	74405998	+	76	NA	5' UTR (NM_018221, exon 1 of 6)	promoter-TSS (NM_018221)	23	NM_018221	55233	Hs.602092	NM_018221		MOB1A	C2orf6|MATS1|MOB1|MOBK1B|MOBKL1B|Mob4B	MOB kinase activator 1A	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_969	chr12	11091993	11092044	+	76	NA	intron (NM_001316893, intron 4 of 4)	promoter-TSS (NM_023922)	-212	NM_023922	50840	Hs.679406	NM_023922		TAS2R14	T2R14|TRB1	taste receptor, type 2, member 14	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4042	chr7	74010103	74010154	+	76	NA	intron (NM_016328, intron 25 of 26)	intron (NM_016328, intron 25 of 26)	-61863	NM_001280800	2969	Hs.647041	NM_001518	ENSG00000263001	GTF2I	BAP135|BTKAP1|DIWS|GTFII-I|IB291|SPIN|TFII-I|WBS|WBSCR6	general transcription factor IIi	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3810	chr6	36646491	36646540	+	76	NA	5' UTR (NM_000389, exon 1 of 3)	promoter-TSS (NM_000389)	28	NM_001220778	1026	Hs.370771	NM_000389	ENSG00000124762	CDKN1A	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1009	chr12	20542923	20542976	+	76	NA	intron (NM_000921, intron 1 of 15)	intron (NM_000921, intron 1 of 15)	20770	NM_000921	5139	Hs.386791	NM_000921	ENSG00000172572	PDE3A	CGI-PDE|CGI-PDE A|CGI-PDE-A|HTNB	phosphodiesterase 3A, cGMP-inhibited	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3198	chr5	39376862	39376925	+	76	NA	exon (NM_001343, exon 12 of 15)	exon (NM_001343, exon 12 of 15)	-12238	NM_001737	735	Hs.654443	NM_001737	ENSG00000113600	C9	ARMD15|C9D	complement component 9	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3935	chr6	151773656	151773708	+	76	NA	5' UTR (NM_001286562, exon 1 of 4)	promoter-TSS (NM_017909)	289	NM_024573	79624	Hs.15929	NM_024573	ENSG00000146476	ARMT1	C6orf211	acidic residue methyltransferase 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_583	chr10	75503958	75504019	+	76	NA	Intergenic	promoter-TSS (NM_004922)	-143	NM_198597	9632	Hs.81964	NM_004922	ENSG00000176986	SEC24C	-	SEC24 homolog C, COPII coat complex component	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_200	chr1	107599319	107599377	+	76	NA	exon (NM_018137, exon 1 of 1)	promoter-TSS (NM_018137)	81	NM_018137	55170	Hs.26006	NM_018137	ENSG00000198890	PRMT6	HRMT1L6	protein arginine methyltransferase 6	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2814	chr3	51533937	51534022	+	76	NA	5' UTR (NM_014703, exon 1 of 25)	promoter-TSS (NM_014703)	39	NM_001171904	9730	Hs.716623	NM_014703	ENSG00000145041	VPRBP	DCAF1	Vpr (HIV-1) binding protein	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1122	chr12	109915045	109915120	+	76	NA	5' UTR (NM_031954, exon 1 of 7)	promoter-TSS (NM_130466)	73	NM_031954	83892	Hs.524731	NM_031954	ENSG00000110906	KCTD10	BTBD28|MSTP028|ULRO61|hBACURD3	potassium channel tetramerization domain containing 10	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3380	chr4	178272570	178272621	+	76	NA	exon (NM_018248, exon 7 of 10)	exon (NM_018248, exon 7 of 10)	41604	NM_018248	55247	Hs.405467	NM_018248	ENSG00000109674	NEIL3	FGP2|FPG2|NEI3|ZGRF3|hFPG2|hNEI3	nei-like DNA glycosylase 3	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1353	chr14	50065689	50065752	+	76	NA	5' UTR (NM_203467, exon 1 of 3)	non-coding (NR_037793, exon 1 of 5)	305	NR_037793	122769	Hs.451090	NM_152329	ENSG00000165501	LRR1	4-1BBLRR|LRR-1|PPIL5	leucine rich repeat protein 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_659	chr10	134145252	134145319	+	76	NA	Intergenic	promoter-TSS (NM_030626)	-329	NM_001143758	80313	Hs.119897	NM_030626	ENSG00000148814	LRRC27	-	leucine rich repeat containing 27	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4379	chrX	15403107	15403161	+	76	NA	exon (NM_003662, exon 10 of 10)	promoter-TSS (NM_004469)	-599	NM_004469	2277	Hs.11392	NM_004469	ENSG00000165197	FIGF	VEGF-D|VEGFD	c-fos induced growth factor (vascular endothelial growth factor D)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1040	chr12	42719978	42720053	+	76	NA	5' UTR (NM_001143787, exon 1 of 12)	promoter-TSS (NM_001143787)	68	NM_001143788	51535	Hs.444157	NM_016488	ENSG00000134283	PPHLN1	CR|HSPC206|HSPC232	periphilin 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1458	chr15	25200134	25200185	+	76	NA	5' UTR (NM_005678, exon 1 of 10)	promoter-TSS (NM_005678)	24	NM_005678	8926	Hs.564847	NM_005678		SNURF	-	SNRPN upstream reading frame	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1567	chr15	91030749	91030809	+	76	NA	exon (NM_003870, exon 33 of 38)	exon (NM_003870, exon 33 of 38)	-42339	NM_022769	64784	Hs.567572	NM_022769	ENSG00000140577	CRTC3	TORC-3|TORC3	CREB regulated transcription coactivator 3	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1452	chr15	48936835	48936899	+	76	NA	exon (NM_000138, exon 2 of 66)	exon (NM_000138, exon 2 of 66)	1118	NM_000138	2200	Hs.591133	NM_000138	ENSG00000166147	FBN1	ACMICD|ECTOL1|FBN|GPHYSD2|MASS|MFS1|OCTD|SGS|SSKS|WMS|WMS2	fibrillin 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3115	chr4	170192016	170192069	+	76	NA	5' UTR (NM_020870, exon 1 of 12)	5' UTR (NM_020870, exon 1 of 12)	207	NM_020870	57630	Hs.301804	NM_020870	ENSG00000154447	SH3RF1	POSH|RNF142|SH3MD2	SH3 domain containing ring finger 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3688	chr5	179249983	179250050	+	76	NA	exon (NM_001142298, exon 3 of 9)	exon (NM_001142298, exon 3 of 9)	2174	NM_003900	8878	Hs.587290	NM_003900	ENSG00000161011	SQSTM1	A170|FTDALS3|OSIL|PDB3|ZIP3|p60|p62|p62B	sequestosome 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3917	chr6	143770976	143771025	+	76	NA	intron (NM_182503, intron 1 of 5)	promoter-TSS (NM_003630)	841	NM_182503	134637	Hs.709561	NM_182503	ENSG00000189007	ADAT2	DEADC1|TAD2|dJ20N2|dJ20N2.1	adenosine deaminase, tRNA-specific 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2204	chr19	47354018	47354083	+	76	NA	5' UTR (NM_021575, exon 1 of 4)	promoter-TSS (NM_001301081)	-24	NM_001301081	1175	Hs.119591	NM_004069	ENSG00000042753	AP2S1	AP17|CLAPS2|FBH3|FBHOk|HHC3	adaptor-related protein complex 2 sigma 1 subunit	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1301	chr14	34420230	34420283	+	76	NA	5' UTR (NM_022073, exon 1 of 5)	promoter-TSS (NM_022073)	28	NM_022073	112399	Hs.135507	NM_022073	ENSG00000129521	EGLN3	HIFP4H3|HIFPH3|PHD3	egl-9 family hypoxia-inducible factor 3	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_318	chr1	155648982	155649033	+	76	NA	5' UTR (NM_139121, exon 4 of 11)	promoter-TSS (NR_132762)	39	NR_132762	106633810		NR_132762		SCARNA26A	-	small Cajal body-specific RNA 26A	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3785	chr7	44887574	44887652	+	76	NA	5' UTR (NM_012412, exon 1 of 5)	5' UTR (NM_012412, exon 1 of 5)	112	NM_138635	94239	Hs.488189	NM_012412	ENSG00000105968	H2AFV	H2A.Z-2|H2AV	H2A histone family, member V	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_963	chr12	6635684	6635752	+	76	NA	exon (NM_014865, exon 21 of 32)	exon (NM_014865, exon 21 of 32)	-7853	NM_002046	2597	Hs.544577	NM_002046	ENSG00000111640	GAPDH	G3PD|GAPD|HEL-S-162eP	glyceraldehyde-3-phosphate dehydrogenase	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4454	chr9	123884071	123884135	+	76	NA	intron (NM_007018, intron 10 of 41)	intron (NM_007018, intron 10 of 41)	33529	NM_007018	11064	Hs.653263	NM_007018	ENSG00000119397	CNTRL	CEP1|CEP110|FAN|bA165P4.1	centriolin	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2251	chr19	19303760	19303818	+	76	NA	5' UTR (NM_001278728, exon 1 of 8)	promoter-TSS (NM_005919)	214	NM_001278728	8625	Hs.153629	NM_003721	ENSG00000064490	RFXANK	ANKRA1|BLS|F14150_1|RFX-B	regulatory factor X-associated ankyrin-containing protein	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_530	chr10	70940007	70940079	+	76	NA	5' UTR (NM_001301683, exon 1 of 16)	promoter-TSS (NM_001301683)	83	NM_001301683	6832	Hs.106469	NM_003171	ENSG00000156502	SUPV3L1	SUV3	SUV3-like helicase	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2728	chr2	242089899	242089988	+	76	NA	exon (NM_001282411, exon 1 of 8)	promoter-TSS (NM_001252120)	-549	NM_001252120	23178	Hs.397891	NM_015148	ENSG00000115687	PASK	PASKIN|STK37	PAS domain containing serine/threonine kinase	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4603	chrX	40465070	40465208	+	76	NA	3' UTR (NM_005765, exon 9 of 9)	3' UTR (NM_005765, exon 9 of 9)	-17679	NM_001195522	347411	Hs.128084	NM_001195522		MPC1L	-	mitochondrial pyruvate carrier 1-like	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1779	chr17	2878943	2879009	+	76	NA	intron (NM_015085, intron 8 of 24)	LTR79|LTR|ERVL	-9787	NR_110818	101927911	Hs.626373	NR_110818	ENSG00000262884	LOC101927911	-	uncharacterized LOC101927911	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1042	chr12	48357993	48358045	+	76	NA	5' UTR (NM_001143843, exon 2 of 8)	5' UTR (NM_001143843, exon 2 of 8)	689	NM_001143843	79022	Hs.596726	NM_024056	ENSG00000134291	TMEM106C	-	transmembrane protein 106C	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_28	chr1	8923263	8923327	+	76	NA	exon (NM_001428, exon 10 of 12)	exon (NM_001428, exon 10 of 12)	3354	NR_106786	102465436		NR_106786	ENSG00000274258	MIR6728	hsa-mir-6728	microRNA 6728	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_672a	chr11	8705786	8705904	+	76	NA	non-coding (NR_002580, exon 1 of 1)	promoter-TSS (NR_002580)	71	NR_002580	619562	Hs.745527	NR_002580	ENSG00000200983	SNORA3A	ACA3|SNORA3|SNORA45A	small nucleolar RNA, H/ACA box 3A	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2950	chr3	170587930	170587982	+	76	NA	exon (NM_001099645, exon 1 of 4)	promoter-TSS (NM_001099645)	89	NM_001099645	200916	Hs.380933	NM_001099645	ENSG00000163584	RPL22L1	-	ribosomal protein L22-like 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_825	chr11	65622420	65622484	+	76	NA	3' UTR (NM_005507, exon 4 of 4)	3' UTR (NM_005507, exon 4 of 4)	3352	NM_005507	1072	Hs.170622	NM_005507	ENSG00000172757	CFL1	CFL|HEL-S-15|cofilin	cofilin 1 (non-muscle)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1517	chr15	72509729	72509813	+	76	NA	exon (NM_001206799, exon 3 of 11)	exon (NM_001206799, exon 3 of 11)	12292	NM_001206799	5315	Hs.534770	NM_002654	ENSG00000067225	PKM	CTHBP|HEL-S-30|OIP3|PK3|PKM2|TCB|THBP1	pyruvate kinase, muscle	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4317	chr8	126010747	126010851	+	76	NA	5' UTR (NM_003129, exon 1 of 11)	promoter-TSS (NM_003129)	79	NM_003129	6713	Hs.71465	NM_003129	ENSG00000104549	SQLE	-	squalene epoxidase	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1923b	chr17	41382068	41382252	+	76	NA	Intergenic--13835	ERV3-16A3_I-int|LTR|ERVL	-1098	NR_047479	100874261	Hs.546898	NR_047479		LINC00854	TMEM106A-AS1	long intergenic non-protein coding RNA 854	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2089	chr19	9695114	9695202	+	76	NA	5' UTR (NM_001308269, exon 1 of 5)	promoter-TSS (NM_001308269)	51	NM_001308269	7675	Hs.501537	NM_001008727	ENSG00000197961	ZNF121	D19S204|ZHC32|ZNF20	zinc finger protein 121	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2370	chr2	96874515	96874564	+	76	NA	5' UTR (NM_020151, exon 1 of 8)	promoter-TSS (NM_020151)	34	NM_020151	56910	Hs.469331	NM_020151	ENSG00000084090	STARD7	GTT1	StAR-related lipid transfer domain containing 7	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3269	chr5	82373122	82373172	+	76	NA	5' UTR (NM_174909, exon 1 of 4)	promoter-TSS (NM_022550)	125	NM_174909	153339	Hs.355606	NM_174909	ENSG00000174695	TMEM167A	TMEM167	transmembrane protein 167A	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4039	chr8	80976749	80976798	+	76	NA	exon (NM_005079, exon 2 of 6)	exon (NM_005079, exon 2 of 6)	16293	NR_105033	7163	Hs.368433	NM_005079	ENSG00000076554	TPD52	D52|N8L|PC-1|PrLZ|hD52	tumor protein D52	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1084	chr12	53845886	53845938	+	76	NA	5' UTR (NM_001128914, exon 1 of 13)	promoter-TSS (NM_001128914)	26	NM_005016	5094	Hs.546271	NM_005016	ENSG00000197111	PCBP2	HNRNPE2|HNRPE2|hnRNP-E2	poly(rC) binding protein 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_759	chr11	57095189	57095253	+	76	NA	exon (NM_003146, exon 14 of 17)	exon (NM_003146, exon 14 of 17)	-2808	NM_033396	85456	Hs.530730	NM_033396	ENSG00000149115	TNKS1BP1	TAB182	tankyrase 1 binding protein 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_27a	chr1	8921083	8921264	+	75	NA	3' UTR (NM_001428, exon 12 of 12)	3' UTR (NM_001428, exon 12 of 12)	5476	NR_106786	102465436		NR_106786	ENSG00000274258	MIR6728	hsa-mir-6728	microRNA 6728	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_1105	chr12	93835648	93835723	+	75	NA	5' UTR (NM_003348, exon 1 of 4)	5' UTR (NM_003348, exon 1 of 4)	341	NM_003348	7334	Hs.524630	NM_003348		UBE2N	HEL-S-71|UBC13|UBCHBEN; UBC13|UbcH-ben|UbcH13	ubiquitin conjugating enzyme E2N	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_701	chr11	14521225	14521357	+	75	NA	5' UTR (NM_016451, exon 1 of 22)	5' UTR (NM_016451, exon 1 of 22)	113	NM_016451	1315	Hs.339278	NM_016451	ENSG00000129083	COPB1	COPB	coatomer protein complex subunit beta 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2997	chr4	10118332	10118400	+	75	NA	5' UTR (NM_005112, exon 1 of 12)	5' UTR (NM_005112, exon 1 of 12)	207	NM_005112	9948	Hs.128548	NM_005112	ENSG00000071127	WDR1	AIP1|HEL-S-52|NORI-1	WD repeat domain 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2702	chr22	36682804	36682869	+	75	NA	exon (NM_002473, exon 35 of 41)	TTS (NR_106877)	117	NR_106877	102465491		NR_106877	ENSG00000278420	MIR6819	hsa-mir-6819	microRNA 6819	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4739	chrX	154004497	154004625	+	75	NA	exon (NM_001142463, exon 14 of 15)	exon (NM_001142463, exon 14 of 15)	1288	NR_002984	677835	Hs.745526	NR_002984	ENSG00000206693	SNORA56	ACA56	small nucleolar RNA, H/ACA box 56	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1908	chr17	39969234	39969291	+	75	NA	5' UTR (NM_021939, exon 1 of 10)	promoter-TSS (NM_006455)	300	NM_021939	60681	Hs.463035	NM_021939	ENSG00000141756	FKBP10	BRKS1|FKBP65|OI11|OI6|PPIASE|hFKBP65	FK506 binding protein 10	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1169	chr12	104680802	104680859	+	75	NA	5' UTR (NM_182743, exon 1 of 14)	5' UTR (NM_182743, exon 1 of 14)	370	NM_182729	7296	Hs.654922	NM_003330	ENSG00000198431	TXNRD1	GRIM-12|TR|TR1|TRXR1|TXNR	thioredoxin reductase 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1993	chr17	61877838	61877891	+	75	NA	exon (NM_203499, exon 6 of 18)	exon (NM_203499, exon 6 of 18)	26315	NM_203499	11325	Hs.702010	NM_007372	ENSG00000198231	DDX42	DDX42P|RHELP|RNAHP|SF3B8|SF3b125	DEAD (Asp-Glu-Ala-Asp) box helicase 42	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2107	chr19	11456800	11456949	+	75	NA	5' UTR (NM_001145416, exon 1 of 4)	promoter-TSS (NM_001080503)	107	NM_198536	374882	Hs.8036	NM_033408	ENSG00000105518	TMEM205	UNQ501	transmembrane protein 205	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2050	chr19	2115331	2115392	+	75	NA	exon (NM_001261826, exon 20 of 32)	exon (NM_001261826, exon 20 of 32)	18493	NM_001039846	113177	Hs.424049	NM_052878	ENSG00000099840	IZUMO4	C19orf36|IMAGE:4215339	IZUMO family member 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_769	chr11	61091495	61091553	+	75	NA	exon (NM_001923, exon 7 of 27)	exon (NM_001923, exon 7 of 27)	-9130	NM_015533	26007	Hs.6278	NM_015533	ENSG00000149476	TKFC	DAK|NET45	triokinase/FMN cyclase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3139	chr5	1338969	1339026	+	75	NA	exon (NM_030782, exon 4 of 17)	exon (NM_030782, exon 4 of 17)	6005	NM_030782	81037	Hs.444673	NM_030782	ENSG00000049656	CLPTM1L	CRR9	CLPTM1-like	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2940	chr3	167742315	167742376	+	75	NA	exon (NM_014498, exon 14 of 16)	exon (NM_014498, exon 14 of 16)	71368	NM_001308155	27333	Hs.143600	NM_014498	ENSG00000173905	GOLIM4	GIMPC|GOLPH4|GPP130|P138	golgi integral membrane protein 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_168	chr1	53704080	53704190	+	75	NA	5' UTR (NM_002370, exon 1 of 5)	promoter-TSS (NR_038953)	-147	NR_038953	100507564	Hs.592502	NR_038953	ENSG00000226754	LOC100507564	-	uncharacterized LOC100507564	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_286	chr1	151319668	151319726	+	75	NA	5' UTR (NM_000449, exon 1 of 11)	promoter-TSS (NM_000449)	72	NM_000449	5993	Hs.632472	NM_000449	ENSG00000143390	RFX5	-	regulatory factor X, 5 (influences HLA class II expression)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_736	chr11	47600618	47600675	+	75	NA	exon (NM_004551, exon 1 of 7)	promoter-TSS (NM_016506)	-79	NR_024222	55709	Hs.718483	NM_016506	ENSG00000123444	KBTBD4	BKLHD4|HSPC252	kelch repeat and BTB (POZ) domain containing 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_83	chr1	23885939	23885994	+	75	NA	5' UTR (NM_002167, exon 1 of 3)	5' UTR (NM_002167, exon 1 of 3)	319	NM_002167	3399	Hs.76884	NM_002167	ENSG00000117318	ID3	HEIR-1|bHLHb25	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3592	chr5	135389685	135389767	+	75	NA	exon (NM_000358, exon 9 of 17)	exon (NM_000358, exon 9 of 17)	25142	NM_000358	7045	Hs.369397	NM_000358	ENSG00000120708	TGFBI	BIGH3|CDB1|CDG2|CDGG1|CSD|CSD1|CSD2|CSD3|EBMD|LCD1	transforming growth factor, beta-induced, 68kDa	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4016	chr7	44646219	44646278	+	75	NA	5' UTR (NM_001165036, exon 1 of 23)	5' UTR (NM_001165036, exon 1 of 23)	127	NM_002541	4967	Hs.488181	NM_002541	ENSG00000105953	OGDH	AKGDH|E1k|OGDC	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4567a	chrM	11078	11187	+	75	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_fstrand_peak_806b	chr11	65191286	65191490	+	75	NA	non-coding (NR_131012, exon 1 of 1)	non-coding (NR_131012, exon 1 of 1)	1119	NR_028272	283131	Hs.523789	NR_002802		NEAT1	LINC00084|NCRNA00084|TncRNA|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
